question,answer,intent
How do I treat a burn?,Cool the burn under cool running water for at least 20 minutes. Remove clothing or jewellery near the burn. Cover loosely with cling film. Do NOT apply creams or butter. Call 999 if severe.,burns
What to do for a burn?,Run cool water over the burn for at least 20 minutes. Do not use ice or butter. Cover with cling film. Seek medical help if the burn is large or deep.,burns
Someone got burned what should I do?,Immediately cool with running water for 20 minutes. Remove nearby jewellery. Cover loosely. Call 111 or 999 for serious burns.,burns
How to help burn victim?,Use cool running water for 20+ minutes. Avoid ice cold water on large burns to prevent hypothermia. Do not burst any blisters. Cover with cling film.,burns
First aid for scalds?,Treat scalds like burns: cool running water for at least 20 minutes. Remove clothing if not stuck to skin. Cover loosely and seek medical help.,burns
What to do if skin is burned?,Cool the area immediately with running water for 20 minutes. Do not put toothpaste butter or oil on it. Cover with a clean dry dressing.,burns
My arm got burned,Run cool water over it for 20 minutes right away. Do not use ice. Cover with cling film or clean dressing. Go to A&E if it is a large or deep burn.,burns
Chemical burn treatment,Wear gloves and remove affected clothing. Rinse with cool running water for at least 20 minutes. Call 999 immediately for chemical burns.,burns
How to stop heavy bleeding?,Apply firm pressure to the wound with a clean pad. Keep pressing even if blood soaks through. Do not remove the pad. Call 999 immediately.,bleeding
What to do for a deep cut?,Press firmly on the wound with a clean cloth or bandage. Raise the injured area if possible. Call 999 if bleeding is heavy and does not stop.,bleeding
Someone is bleeding a lot,Call 999 now. Apply and maintain pressure to the wound. Use a clean dressing. Do not remove the first pad if soaked through; add more on top.,bleeding
How to treat a wound bleeding heavily?,Dial 999 first. Apply direct pressure with a clean pad. If the wound has an embedded object do not remove it; press around it instead.,bleeding
First aid for bleeding,Apply firm pressure with a clean dressing. Keep pressing for at least 10 minutes. Raise the limb if possible. Seek medical help for any significant bleeding.,bleeding
My finger is cut and bleeding,Press firmly on it with a clean cloth. Elevate your hand above heart level. Apply pressure for at least 10 minutes. Go to A&E if it does not stop.,bleeding
How to bandage a bleeding wound?,Place a clean pad on the wound and press firmly. Bandage over the pad tightly. If blood soaks through add another pad on top do not remove the first.,bleeding
Nosebleed treatment,Sit upright and lean slightly forward. Pinch the soft part of your nose firmly for 10-15 minutes. Breathe through your mouth. Do not tilt your head back.,bleeding
What to do if someone is choking?,If they can cough encourage them to cough. If they cannot breathe give up to 5 back blows between shoulder blades then 5 abdominal thrusts. Call 999 if it does not clear.,choking
How to help a choking person?,Give up to 5 firm back blows with the heel of your hand between the shoulder blades. If that fails give up to 5 abdominal thrusts. Call 999 if airway remains blocked.,choking
Person is choking what do I do?,Lean them forward and give 5 back blows between shoulder blades. If that does not work give 5 abdominal thrusts. Call 999 and keep repeating until help arrives.,choking
How to do the Heimlich maneuver?,Stand behind the person. Place your fist just above the belly button. Cover with other hand. Pull sharply inward and upward up to 5 times. This is called abdominal thrust.,choking
Child is choking,For a child over 1 year use 5 back blows then 5 abdominal thrusts. For a baby under 1 only use back blows and chest thrusts never abdominal thrusts. Call 999.,choking
Something is stuck in throat,If you can breathe cough hard to dislodge it. If you cannot breathe ask someone to give you 5 back blows. If still blocked they should give 5 abdominal thrusts. Call 999.,choking
Choking on food,Encourage coughing if possible. If that fails lean forward get 5 sharp back blows between shoulders. Then 5 inward-upward abdominal thrusts. Repeat and call 999.,choking
What to do if someone faints?,Lay the person down and raise their legs above heart level. Loosen tight clothing. Make sure they can breathe. They should recover in a minute or two.,fainting
Person passed out,Lay them on their back and raise their legs. Check they are breathing. Do not give food or water until fully conscious. Call 999 if they do not wake up quickly.,fainting
How to treat fainting?,Place them in the recovery position if unconscious. If conscious lay them down and raise legs. Loosen clothing around neck and waist. Call 999 if they do not recover.,fainting
Someone collapsed,Check for response and breathing. Call 999. If breathing place in recovery position. If not breathing start CPR immediately.,fainting
What to do when someone faints?,Lower them to the floor carefully. Raise their legs 30cm off the ground. Ensure fresh air circulation. Stay with them until they recover.,fainting
Signs someone will faint,Watch for pale skin dizziness sweating and nausea. Have them sit or lie down immediately. Lower their head between their knees if sitting.,fainting
How to do CPR?,Call 999 first. Place heel of hand on centre of chest. Press down 5-6cm at 100-120 compressions per minute. Give 2 rescue breaths after every 30 compressions if trained.,cpr
What is CPR?,CPR stands for cardiopulmonary resuscitation. Press down on the centre of the chest hard and fast 30 times then give 2 rescue breaths. Repeat until help arrives.,cpr
How to perform chest compressions?,Kneel beside the person. Place heel of hand on centre of chest. Put other hand on top. Push down 5-6cm and release. Do 30 compressions then 2 breaths.,cpr
Person stopped breathing what to do?,Call 999 immediately. Tilt their head back and lift chin to open airway. Give 2 rescue breaths. Start 30 chest compressions. Repeat until help arrives.,cpr
Heart stopped beating first aid,Call 999 right away. Start CPR: 30 chest compressions at 100-120 per minute followed by 2 rescue breaths. Do not stop until paramedics arrive or the person recovers.,cpr
How fast should I do CPR?,Compress at a rate of 100 to 120 times per minute. Push down about 5-6cm each time. A good rhythm is to the beat of Stayin Alive by Bee Gees.,cpr
Hands only CPR,If you are not trained in rescue breaths do hands-only CPR. Call 999 then push hard and fast on centre of chest at 100-120 compressions per minute without stopping.,cpr
Signs of heart attack,Chest pain or pressure in the centre or left side. Pain spreading to arm jaw neck or back. Shortness of breath. Sweating and nausea. Call 999 immediately.,heart_attack
